"ReachDir" "Bout" "EarlyLate" "Cycle" "Subj"
508 38.625 "A3" "Early" "4" "C11"
509 23.067 "A3" "Late" "5" "C11"
510 39.191 "A3" "Late" "6" "C11"
511 46.556 "A3" "Late" "7" "C11"
512 30.752 "A3" "Late" "8" "C11"
513 4.151 "A3" "Washout" "9" "C11"
514 4.171 "A3" "Washout" "10" "C11"
515 1.727 "A3" "Washout" "11" "C11"
516 1.894 "A3" "Washout" "12" "C11"
517 14.543 "A3" "Early" "1" "C12"
518 22.274 "A3" "Early" "2" "C12"
519 20.765 "A3" "Early" "3" "C12"
520 21.445 "A3" "Early" "4" "C12"
521 37.275 "A3" "Late" "5" "C12"
522 25.069 "A3" "Late" "6" "C12"
523 36.718 "A3" "Late" "7" "C12"
524 31.138 "A3" "Late" "8" "C12"
525 6.045 "A3" "Washout" "9" "C12"
526 2.446 "A3" "Washout" "10" "C12"
527 1.403 "A3" "Washout" "11" "C12"
528 0.618 "A3" "Washout" "12" "C12"
529 23.210 "A3" "Early" "1" "C13"
530 27.103 "A3" "Early" "2" "C13"
531 15.756 "A3" "Early" "3" "C13"
532 15.087 "A3" "Early" "4" "C13"
533 20.705 "A3" "Late" "5" "C13"
534 11.438 "A3" "Late" "6" "C13"
535 33.611 "A3" "Late" "7" "C13"
536 9.678 "A3" "Late" "8" "C13"
537 11.645 "A3" "Washout" "9" "C13"
538 6.649 "A3" "Washout" "10" "C13"
539 5.968 "A3" "Washout" "11" "C13"
540 3.169 "A3" "Washout" "12" "C13"
541 40.081 "A3" "Early" "1" "C14"
542 37.284 "A3" "Early" "2" "C14"
543 62.424 "A3" "Early" "3" "C14"
544 26.541 "A3" "Early" "4" "C14"
545 31.235 "A3" "Late" "5" "C14"
546 25.787 "A3" "Late" "6" "C14"
547 41.345 "A3" "Late" "7" "C14"
548 35.396 "A3" "Late" "8" "C14"
549 13.882 "A3" "Washout" "9" "C14"
550 11.958 "A3" "Washout" "10" "C14"
551 7.726 "A3" "Washout" "11" "C14"
552 9.095 "A3" "Washout" "12" "C14"
553 1.470 "A3" "Early" "1" "C15"
554 27.303 "A3" "Early" "2" "C15"
555 8.773 "A3" "Early" "3" "C15"
556 9.995 "A3" "Early" "4" "C15"
557 41.875 "A3" "Late" "5" "C15"
558 32.076 "A3" "Late" "6" "C15"
559 49.617 "A3" "Late" "7" "C15"
560 17.626 "A3" "Late" "8" "C15"
561 1.084 "A3" "Washout" "9" "C15"
562 3.464 "A3" "Washout" "10" "C15"
563 -0.877 "A3" "Washout" "11" "C15"
564 -0.676 "A3" "Washout" "12" "C15"
565 0.613 "A3" "Early" "1" "C16"
566 20.295 "A3" "Early" "2" "C16"
567 13.549 "A3" "Early" "3" "C16"
568 11.839 "A3" "Early" "4" "C16"
569 10.644 "A3" "Late" "5" "C16"
570 17.343 "A3" "Late" "6" "C16"
571 30.101 "A3" "Late" "7" "C16"
572 19.422 "A3" "Late" "8" "C16"
573 8.933 "A3" "Washout" "9" "C16"
574 7.358 "A3" "Washout" "10" "C16"
575 4.718 "A3" "Washout" "11" "C16"
576 1.824 "A3" "Washout" "12" "C16"
